"Año";"Mes";"PEQ";"PEQ_IT"
2003;1;2419,55;159,12
2003;2;2399,37;187,37
2003;3;2410,70;183,42
2003;4;2421,21;164,58
2003;5;2388,48;144,67
2003;6;2402,27;142,92
2003;7;2485,64;125,26
2003;8;2563,77;98,47
2003;9;2458,15;101,25
2003;10;2415,12;132,84
2003;11;2426,01;152,47
2003;12;2446,10;140,87
2004;1;2407,20;154,16
2004;2;2359,88;174,46
2004;3;2364,99;185,03
2004;4;2391,23;166,04
2004;5;2362,06;156,40
2004;6;2437,05;151,47
2004;7;2544,98;147,13
2004;8;2597,69;118,70
2004;9;2496,25;118,62
2004;10;2419,61;136,33
2004;11;2435,68;138,68
2004;12;2476,03;120,40
2005;1;2484,15;152,33
2005;2;2441,60;162,57
2005;3;2455,35;158,33
2005;4;2448,74;174,71
2005;5;2483,98;187,24
2005;6;2538,43;188,15
2005;7;2636,61;169,86
2005;8;2692,55;132,00
2005;9;2587,36;134,01
2005;10;2519,08;142,15
2005;11;2522,32;152,93
2005;12;2583,36;144,93
2006;1;2544,87;169,02
2006;2;2513,83;185,76
2006;3;2529,80;191,39
2006;4;2531,91;165,30
2006;5;2523,39;162,70
2006;6;2592,57;149,78
2006;7;2680,56;132,36
2006;8;2745,16;108,05
2006;9;2666,77;120,66
2006;10;2609,48;129,03
2006;11;2625,35;142,85
2006;12;2659,65;143,67
2007;1;2622,29;166,11
2007;2;2593,13;188,20
2007;3;2607,66;178,56
2007;4;2642,59;153,50
2007;5;2639,11;150,26
2007;6;2684,90;129,89
2007;7;2791,22;114,58
2007;8;2842,53;107,10
2007;9;2796,04;112,86
2007;10;2748,32;135,25
2007;11;2743,60;134,23
2007;12;2766,66;119,63
2008;1;2714,23;121,17
2008;2;2690,09;176,55
2008;3;2725,25;171,70
2008;4;2722,63;164,73
2008;5;2759,87;136,92
2008;6;2807,32;145,45
2008;7;2917,12;124,95
2008;8;2942,03;99,30
2008;9;2905,67;101,59
2008;10;2843,37;128,46
2008;11;2845,36;136,57
2008;12;2865,31;126,91
2009;1;2829,98;132,92
2009;2;2787,80;157,70
2009;3;2780,12;146,18
2009;4;2790,75;117,60
2009;5;2780,91;119,33
2009;6;2788,77;122,60
2009;7;2876,69;117,53
2009;8;2914,04;103,45
2009;9;2863,77;112,05
2009;10;2824,93;124,98
2009;11;2840,84;154,70
2009;12;2875,65;126,49
2010;1;2831,62;132,11
2010;2;2819,48;163,42
2010;3;2844,91;157,25
2010;4;2857,22;137,93
2010;5;2859,30;133,11
2010;6;2873,16;118,76
2010;7;2957,85;105,02
2010;8;2982,50;88,71
2010;9;2916,29;107,43
2010;10;2872,58;129,68
2010;11;2893,23;130,43
2010;12;2924,96;122,82
2011;1;2887,84;132,62
2011;2;2867,73;149,71
2011;3;2852,58;143,80
2011;4;2811,85;112,94
2011;5;2811,82;106,96
2011;6;2823,18;109,99
2011;7;2872,90;95,20
2011;8;2918,67;83,34
2011;9;2847,38;89,90
2011;10;2773,86;97,97
2011;11;2765,69;104,98
2011;12;2766,00;88,52
2012;1;2699,25;108,99
2012;2;2694,11;142,50
2012;3;2687,92;129,56
2012;4;2684,12;91,44
2012;5;2721,46;84,71
2012;6;2742,05;89,89
2012;7;2841,33;86,03
2012;8;2871,67;62,78
2012;9;2814,80;70,64
2012;10;2751,13;79,66
2012;11;2754,79;78,26
2012;12;2776,14;73,96
2013;1;2682,21;91,59
2013;2;2666,13;116,35
2013;3;2665,13;108,36
2013;4;2656,86;106,68
2013;5;2668,39;104,11
2013;6;2702,85;109,89
2013;7;2778,16;93,51
2013;8;2812,89;74,27
2013;9;2754,26;82,31
2013;10;2702,77;87,10
2013;11;2721,00;83,43
2013;12;2747,73;85,31
2014;1;2716,80;91,20
2014;2;2706,57;103,50
2014;3;2732,91;112,11
2014;4;2741,74;114,75
2014;5;2749,77;114,20
2014;6;2811,39;114,77
2014;7;2873,11;91,90
2014;8;2949,37;82,24
2014;9;2856,33;90,93
2014;10;2811,67;102,65
2014;11;2861,61;120,91
2014;12;2894,62;114,16
2015;1;2862,56;115,97
2015;2;2855,09;131,93
2015;3;2849,69;113,55
2015;4;2842,86;99,57
2015;5;2783,87;95,53
2015;6;2833,33;106,37
2015;7;2944,46;102,03
2015;8;2971,10;92,40
2015;9;2919,33;97,63
2015;10;2844,10;107,92
2015;11;2859,90;114,75
2015;12;2878,23;119,24
2016;1;2911,14;108,44
2016;2;2904,21;130,15
2016;3;2929,81;129,72
2016;4;2933,23;132,18
2016;5;2948,23;133,26
2016;6;3008,41;121,90
2016;7;3106,30;125,65
2016;8;3122,58;107,73
2016;9;3060,19;119,65
2016;10;3009,53;132,73
2016;11;2988,72;141,75
2016;12;3012,71;131,40
2017;1;2960,93;123,96
2017;2;2946,84;130,42
2017;3;2958,37;146,92
2017;4;2985,43;145,29
2017;5;3001,16;149,44
2017;6;3070,98;148,59
2017;7;3205,40;142,33
2017;8;3228,24;125,50
2017;9;3197,69;121,54
2017;10;3123,61;130,48
2017;11;3125,44;147,94
2017;12;3174,52;126,87
2018;1;3095,01;152,24
2018;2;3132,01;164,55
2018;3;3142,20;171,64
2018;4;3172,71;163,94
2018;5;3180,35;156,62
2018;6;3229,33;165,98
2018;7;3355,08;156,80
2018;8;3382,60;144,68
2018;9;3339,09;148,35
2018;10;3237,09;164,11
