COLECTIVO;MES;AÑO;Festivos_intersemanales;SumaDePEQ1;SumaDePEQ_IT;EDAD_MEDIA
Enfermeras/os;12;2004;2;860,7535484;37,38354839;39,99381245
Facultativos/as;1;2004;2;386,8816129;9,741935484;45,39349833
Facultativos/as;2;2004;0;385,8437931;10,82758621;45,49634521
Facultativos/as;3;2004;0;387,6880645;12,38709677;45,46912359
Facultativos/as;4;2004;2;390,5966667;11,6;45,52383228
Facultativos/as;5;2004;1;391,0751613;12,12903226;45,53290274
Facultativos/as;6;2004;0;389,3866667;11,33333333;45,61617545
Facultativos/as;7;2004;0;399,1406452;8,774193548;45,03722316
Facultativos/as;8;2004;0;406,5112903;7,064516129;44,8214068
Facultativos/as;9;2004;0;404,1893333;8,3;44,96869199
Facultativos/as;10;2004;1;400,8754839;8,129032258;45,16957262
Facultativos/as;11;2004;1;404,6056667;7,133333333;45,22648188
Facultativos/as;12;2004;2;404,7387097;6,419354839;45,39502985
Otros;1;2004;2;42;1,387096774;42,08661233
Otros;2;2004;0;40,20689655;2,655172414;42,02012521
Otros;3;2004;0;39;2;42,12565535
Otros;4;2004;2;39,53333333;2,2;42,09391852
Otros;5;2004;1;39,90322581;1;42,10211564
Otros;6;2004;0;39,66666667;1,233333333;42,94825366
Otros;7;2004;0;39;1,129032258;43,27726904
Otros;8;2004;0;39;1,225806452;43,36214474
Otros;9;2004;0;39,36666667;0,966666667;43,4483732
Otros;10;2004;1;40;0,290322581;43,54013799
Otros;11;2004;1;40;0,333333333;43,62227576
Otros;12;2004;2;39,5483871;;43,81900087
Personal Hoteleria;1;2004;2;21,12903226;5,096774194;53,83544105
Personal Hoteleria;2;2004;0;22,4137931;5,896551724;53,37455667
Personal Hoteleria;3;2004;0;21,35483871;5,064516129;53,41908197
Personal Hoteleria;4;2004;2;21;3,433333333;53,304546
Personal Hoteleria;5;2004;1;21;5;53,3894217
Personal Hoteleria;6;2004;0;21;4,966666667;53,47155947
Personal Hoteleria;7;2004;0;21,61290323;4,064516129;53,2218153
Personal Hoteleria;8;2004;0;22,03225806;2;53,01292493
Personal Hoteleria;9;2004;0;20,8;1,966666667;53,79763464
Personal Hoteleria;10;2004;1;20,09677419;0,903225806;54,15508139
Personal Hoteleria;11;2004;1;20;2,033333333;54,27622933
Personal Hoteleria;12;2004;2;20,16129032;2,419354839;54,28326361
Personal Mantenimiento;1;2004;2;48,93548387;4,741935484;48,33785708
Personal Mantenimiento;2;2004;0;48,37586207;4,24137931;48,57441895
Personal Mantenimiento;3;2004;0;46,62516129;3,032258065;48,85129465
Personal Mantenimiento;4;2004;2;46,32133333;2,6;49,17059583
Personal Mantenimiento;5;2004;1;46,61258065;2,35483871;49,22374622
Personal Mantenimiento;6;2004;0;47,13966667;4,1;48,89719784
Personal Mantenimiento;7;2004;0;46,90774194;3,677419355;49,1441277
Personal Mantenimiento;8;2004;0;49,31935484;2,161290323;48,28154192
Personal Mantenimiento;9;2004;0;48,53133333;2,266666667;48,77603154
Personal Mantenimiento;10;2004;1;48,19935484;2,258064516;48,82439825
Personal Mantenimiento;11;2004;1;47,2;3,6;48,78972467
Personal Mantenimiento;12;2004;2;47,91548387;3,032258065;48,66998834
Residentes/as;1;2004;2;167,516129;0,774193548;28,55610263
Residentes/as;2;2004;0;167;0,448275862;28,63304712
Residentes/as;3;2004;0;167;0,774193548;28,71792282
Residentes/as;4;2004;2;167;1,2;28,8000606
Residentes/as;5;2004;1;167;1,774193548;28,88493629
Residentes/as;6;2004;0;215,3666667;0,866666667;28,37400722
Residentes/as;7;2004;0;189,1935484;1,161290323;28,11701806
Residentes/as;8;2004;0;174,1935484;0,548387097;28,03874672
Residentes/as;9;2004;0;174;0,366666667;28,11997654
Residentes/as;10;2004;1;174;0,322580645;28,20485223
Residentes/as;11;2004;1;174;0,1;28,28699001
Residentes/as;12;2004;2;173;0,225806452;28,37560923
Técnicos/as especialistas;1;2004;2;58,11064516;4,516129032;38,58965717
Técnicos/as especialistas;2;2004;0;55,57275862;4;39,38184066
Técnicos/as especialistas;3;2004;0;56,51064516;4,677419355;39,09203016
Técnicos/as especialistas;4;2004;2;59,71466667;5,421666667;38,64094304
Técnicos/as especialistas;5;2004;1;57,75225806;4,677419355;39,20394477
Técnicos/as especialistas;6;2004;0;60,35333333;4,2;38,85979991
Técnicos/as especialistas;7;2004;0;63,57225806;4,193548387;38,20682173
Técnicos/as especialistas;8;2004;0;69,0383871;1,838709677;37,36221052
Técnicos/as especialistas;9;2004;0;62,069;1,4;38,80244599
Técnicos/as especialistas;10;2004;1;58,6116129;1,774193548;39,09884596
Técnicos/as especialistas;11;2004;1;58,07733333;2,4;39,4399072
Técnicos/as especialistas;12;2004;2;59,48741935;2,774193548;39,19759204
Administrativos/as;1;2003;2;218,6774194;17,4516129;40,73993689
Administrativos/as;2;2003;1;215,5;18,92857143;41,17222362
Administrativos/as;3;2003;0;210,1290323;14,77419355;41,54691947
Administrativos/as;4;2003;2;208,6666667;15,56666667;41,57383232
Administrativos/as;5;2003;1;206,7096774;15,38709677;41,89140474
Administrativos/as;6;2003;0;207,5;12,73333333;41,89868223
Administrativos/as;7;2003;0;217,9354839;8,548387097;41,09516033
Administrativos/as;8;2003;1;230,9032258;8,612903226;40,31550873
Administrativos/as;9;2003;1;214,4666667;10,4;41,40190249
Administrativos/as;10;2003;0;206,5806452;12,64516129;42,09340315
Administrativos/as;11;2003;0;210,4666667;16,46666667;41,94081193
Administrativos/as;12;2003;2;212,0029032;12,32258065;41,87079121
Auxiliar de enfermeria;1;2003;2;482,1696774;55,06451613;39,99069753
Auxiliar de enfermeria;2;2003;1;480,9957143;72,88142857;40,0605971
Auxiliar de enfermeria;3;2003;0;487,5964516;64,75290323;40,13058908
Auxiliar de enfermeria;4;2003;2;490,498;52,93333333;40,18673408
Auxiliar de enfermeria;5;2003;1;474,4167742;44,83870968;40,66974186
Auxiliar de enfermeria;6;2003;0;465,501;41,75433333;40,76012806
Auxiliar de enfermeria;7;2003;0;492,8674194;39,23322581;40,4400171
Auxiliar de enfermeria;8;2003;1;510,6867742;27,92806452;40,15765527
Enfermeras/os;7;2005;0;923,726129;60,90677419;39,48552776
Enfermeras/os;8;2005;1;939,3122581;47,8683871;39,38629441
Enfermeras/os;9;2005;0;903,399;51,07733333;39,94396852
Enfermeras/os;10;2005;1;881,1445161;59,51935484;40,26454115
