index,COLECTIVO,mes,año,Festivos_intersemanales,Plantilla,Plantilla_de_baja,date,casos_covid,busquedas_google,cambio_normativa
458,Celadores/as,1,2003,2,157.21935480000002,8.290322581,2003-01-01,0.0,13.4559811827957,0
459,Celadores/as,2,2003,1,157.6571429,9.5,2003-02-01,0.0,24.558730158730157,0
460,Celadores/as,3,2003,0,152.96129030000003,10.58064516,2003-03-01,0.0,16.182795698924732,0
461,Celadores/as,4,2003,2,152.83333330000002,7.6,2003-04-01,0.0,11.244444444444445,0
462,Celadores/as,5,2003,1,155.67096769999998,9.161290323,2003-05-01,0.0,9.35483870967742,0
463,Celadores/as,6,2003,0,154.1333333,7.066666667000001,2003-06-01,0.0,4.5297491039426525,0
464,Celadores/as,7,2003,0,157.7677419,8.096774194,2003-07-01,0.0,8.354838709677418,0
465,Celadores/as,8,2003,1,185.67096769999998,6.741935484,2003-08-01,0.0,7.967741935483872,0
466,Celadores/as,9,2003,1,172.6,8.4,2003-09-01,0.0,13.432258064516128,0
467,Celadores/as,10,2003,0,171.89677419999998,14.12903226,2003-10-01,0.0,20.091985887096776,0
468,Celadores/as,11,2003,0,171.1333333,12.0,2003-11-01,0.0,9.133333333333333,0
469,Celadores/as,12,2003,2,174.8,10.32258065,2003-12-01,0.0,9.588709677419354,0
470,Celadores/as,1,2004,2,174.1225806,13.19354839,2004-01-01,0.0,13.455981182795698,0
471,Celadores/as,2,2004,0,167.6213793,15.31034483,2004-02-01,0.0,24.558730158730157,0
472,Celadores/as,3,2004,0,169.95645159999998,20.43870968,2004-03-01,0.0,16.182795698924732,0
473,Celadores/as,4,2004,2,169.5933333,16.7,2004-04-01,0.0,11.244444444444445,0
474,Celadores/as,5,2004,1,168.7490323,15.07741935,2004-05-01,0.0,9.35483870967742,0
475,Celadores/as,6,2004,0,173.34066669999999,16.78,2004-06-01,0.0,4.5297491039426525,0
476,Celadores/as,7,2004,0,179.36548390000002,19.83870968,2004-07-01,0.0,8.354838709677418,0
477,Celadores/as,8,2004,0,195.0322581,16.5483871,2004-08-01,0.0,7.967741935483872,0
478,Celadores/as,9,2004,0,179.1386667,11.86666667,2004-09-01,0.0,13.432258064516128,0
479,Celadores/as,10,2004,1,170.8154839,15.64516129,2004-10-01,0.0,20.091985887096776,0
480,Celadores/as,11,2004,1,176.90900000000002,20.08666667,2004-11-01,0.0,9.133333333333333,0
481,Celadores/as,12,2004,2,185.2916129,15.34193548,2004-12-01,0.0,9.588709677419354,0
482,Celadores/as,1,2005,1,185.4164516,16.83870968,2005-01-01,0.0,13.455981182795698,0
483,Celadores/as,2,2005,1,175.2567857,20.07142857,2005-02-01,0.0,24.558730158730157,0
484,Celadores/as,3,2005,2,173.76354840000002,19.61290323,2005-03-01,0.0,16.182795698924732,0
485,Celadores/as,4,2005,0,174.17,18.83333333,2005-04-01,0.0,11.244444444444445,0
