index,COLECTIVO,mes,año,Festivos_intersemanales,Plantilla,Plantilla_de_baja,date,casos_covid,busquedas_google,cambio_normativa
690,Enfermeras/os,1,2003,2,861.6548387,58.32258065,2003-01-01,0.0,18.896169354838708,0
691,Enfermeras/os,2,2003,1,847.7753571000001,63.0,2003-02-01,0.0,29.314285714285717,0
692,Enfermeras/os,3,2003,0,857.7041935000001,69.47741935,2003-03-01,0.0,18.49462365591398,0
693,Enfermeras/os,4,2003,2,869.8066667000002,70.15333333,2003-04-01,0.0,16.900000000000002,0
694,Enfermeras/os,5,2003,1,855.7948387,61.03225806,2003-05-01,0.0,16.70967741935484,0
695,Enfermeras/os,6,2003,0,863.8933332999999,63.66666667,2003-06-01,0.0,10.198924731182798,0
696,Enfermeras/os,7,2003,0,885.4787097000001,50.09677419,2003-07-01,0.0,15.02150537634409,0
697,Enfermeras/os,8,2003,1,901.37,40.70967742,2003-08-01,0.0,14.612903225806454,0
698,Enfermeras/os,9,2003,1,859.2306667000001,39.40666667,2003-09-01,0.0,18.21505376344086,0
699,Enfermeras/os,10,2003,0,847.3651613,54.47741935,2003-10-01,0.0,23.935735887096772,0
700,Enfermeras/os,11,2003,0,856.2813332999999,57.36600000000001,2003-11-01,0.0,11.983333333333333,0
701,Enfermeras/os,12,2003,2,853.5538710000001,54.21290323,2003-12-01,0.0,11.096774193548388,0
702,Enfermeras/os,1,2004,2,840.7383871,56.99451613,2004-01-01,0.0,18.896169354838708,0
703,Enfermeras/os,2,2004,0,820.1158621000001,57.95310345,2004-02-01,0.0,29.314285714285717,0
704,Enfermeras/os,3,2004,0,814.9974194,51.87516129,2004-03-01,0.0,18.49462365591398,0
705,Enfermeras/os,4,2004,2,828.8386667000001,55.56133333,2004-04-01,0.0,16.900000000000002,0
706,Enfermeras/os,5,2004,1,823.9090323,56.44967742,2004-05-01,0.0,16.70967741935484,0
707,Enfermeras/os,6,2004,0,834.9336667,49.14633333,2004-06-01,0.0,10.198924731182798,0
708,Enfermeras/os,7,2004,0,890.7593548000001,44.33,2004-07-01,0.0,15.021505376344088,0
