index,COLECTIVO,mes,año,Festivos_intersemanales,Plantilla,Plantilla_de_baja,date,casos_covid,busquedas_google,cambio_normativa
1380,Mantenimiento,1,2003,2,50.58064516,6.4193548389999995,2003-01-01,0.0,18.896169354838708,0
1381,Mantenimiento,2,2003,1,50.67857143,6.142857143,2003-02-01,0.0,29.314285714285717,0
1382,Mantenimiento,3,2003,0,50.64516129,5.193548387,2003-03-01,0.0,18.49462365591398,0
1383,Mantenimiento,4,2003,2,50.0,4.233333333,2003-04-01,0.0,16.900000000000002,0
1384,Mantenimiento,5,2003,1,48.67741935,2.806451613,2003-05-01,0.0,16.70967741935484,0
1385,Mantenimiento,6,2003,0,48.03333333,2.0333333330000003,2003-06-01,0.0,10.198924731182798,0
1386,Mantenimiento,7,2003,0,51.03225806,2.677419355,2003-07-01,0.0,15.02150537634409,0
1387,Mantenimiento,8,2003,1,52.96774194,2.129032258,2003-08-01,0.0,14.612903225806454,0
1388,Mantenimiento,9,2003,1,51.23333333,2.0,2003-09-01,0.0,18.21505376344086,0
1389,Mantenimiento,10,2003,0,49.38709677,3.774193548,2003-10-01,0.0,23.935735887096772,0
1390,Mantenimiento,11,2003,0,49.7,5.766666667000001,2003-11-01,0.0,11.983333333333333,0
1391,Mantenimiento,12,2003,2,49.41935484,6.2258064520000005,2003-12-01,0.0,11.096774193548388,0
1392,Mantenimiento,1,2004,2,48.93548387,4.741935484,2004-01-01,0.0,18.896169354838708,0
1393,Mantenimiento,2,2004,0,48.4,4.24137931,2004-02-01,0.0,29.314285714285717,0
1394,Mantenimiento,3,2004,0,46.62516129,3.032258065,2004-03-01,0.0,18.49462365591398,0
1395,Mantenimiento,4,2004,2,46.32133333,2.6,2004-04-01,0.0,16.900000000000002,0
1396,Mantenimiento,5,2004,1,46.61258065,2.35483871,2004-05-01,0.0,16.70967741935484,0
1397,Mantenimiento,6,2004,0,47.13966667,4.1,2004-06-01,0.0,10.198924731182798,0
1398,Mantenimiento,7,2004,0,46.90774194,3.677419355,2004-07-01,0.0,15.021505376344088,0
1399,Mantenimiento,8,2004,0,49.31935484,2.1612903230000002,2004-08-01,0.0,14.612903225806454,0
1400,Mantenimiento,9,2004,0,48.53133333,2.266666667,2004-09-01,0.0,18.21505376344086,0
